Action Card,Core Records
Action Card User Settings,Core Records
Activity,Core Records
Announcement,Core Records
Application File,Core Records
Category,Core Records
Company,Core Records
Connection,Core Records
Connection Role,Core Records
Customer Relationship,Core Records
Data Import,Core Records
Data Map,Core Records
Data Performance Dashboard,Core Records
Document Location,Core Records
Document Suggestions,Core Records
Duplicate Detection Rule,Core Records
Email Signature,Core Records
Email Template,Core Records
Feedback,Core Records
Follow,Core Records
Import Source File,Core Records
Interaction for Email,Core Records
Language,Core Records
Mail Merge Template,Core Records
Mobile Offline Profile,Core Records
Note,Core Records
Opportunity,Core Records
Opportunity Relationship,Core Records
Person,Core Records
Post,Core Records
Prospect,Core Records
Queue,Core Records
Relationship Role,Core Records
Report,Core Records
Saved Organization Insights Configuration,Core Records
Saved View,Core Records
SharePoint Site,Core Records
Social Profile,Core Records
Subject,Core Records
Sync Error,Core Records
Trace,Core Records
User Chart,Core Records
User Dashboard,Core Records
User Entity Instance Data,Core Records
User Entity UI Settings,Core Records
User Mapping,Core Records
Web Wizard,Core Records
Web Wizard Access Privilege,Core Records
Wizard Page,Core Records
Add Reporting Services Reports,Core Records.Miscellaneous Privileges
Delete Audit Partitions,Core Records.Miscellaneous Privileges
Manage Data Encryption key - Change,Core Records.Miscellaneous Privileges
Manage User Synchronization Filters,Core Records.Miscellaneous Privileges
Publish Email Templates,Core Records.Miscellaneous Privileges
Publish Reports,Core Records.Miscellaneous Privileges
View Audit History,Core Records.Miscellaneous Privileges
View Audit Summary,Core Records.Miscellaneous Privileges
Bulk Delete,Core Records.Miscellaneous Privileges
Manage Data Encryption key - Activate,Core Records.Miscellaneous Privileges
Manage Data Encryption key - Read,Core Records.Miscellaneous Privileges
Publish Duplicate Detection Rules,Core Records.Miscellaneous Privileges
Publish Mail Merge Templates to Organization,Core Records.Miscellaneous Privileges
Run SharePoint Integration Wizard,Core Records.Miscellaneous Privileges
View Audit Partitions,Core Records.Miscellaneous Privileges
OneDrive for Business,Core Records.Miscellaneous Privileges
Delete Audit Record Change History,Core Records.Miscellaneous Privileges
Campaign,Marketing
Marketing List,Marketing
Configure Internet Marketing module,Marketing.Miscellaneous Privileges
Use internet marketing module,Marketing.Miscellaneous Privileges
Create Quick Campaign,Marketing.Miscellaneous Privileges
Competitor,Sales
Invoice,Sales
Order,Sales
Product,Sales
Property,Sales
Property Association,Sales
Property Instance,Sales
Property Option Set Item,Sales
Quote,Sales
Sales Literature,Sales
Territory,Sales
Override Invoice Pricing,Sales.Miscellaneous Privileges
Override Order Pricing,Sales.Miscellaneous Privileges
Override Quote Pricing,Sales.Miscellaneous Privileges
Override Opportunity Pricing,Sales.Miscellaneous Privileges
Override Quote Order Invoice Delete,Sales.Miscellaneous Privileges
Article,Service
Article Template,Service
Bookable Resource,Service
Bookable Resource Booking,Service
Bookable Resource Booking Header,Service
